20
18,0,19,0
17,19,18,19
17,0,18,0
16,19,17,19
16,0,17,0
15,19,16,19
15,0,16,0
14,19,15,19
14,0,15,0
13,19,14,19
13,0,14,0
12,19,13,19
12,0,13,0
11,19,12,19
11,0,12,0
10,19,11,19
10,0,11,0
9,19,10,19
9,0,10,0
8,19,9,19
8,0,9,0
7,19,8,19
7,0,8,0
6,19,7,19
6,0,7,0
5,19,6,19
5,0,6,0
4,19,5,19
4,0,5,0
3,19,4,19
3,0,4,0
2,19,3,19
2,0,3,0
1,19,2,19
1,0,2,0
0,19,1,19
19,18,19,19
0,18,0,19
19,17,19,18
0,17,0,18
19,16,19,17
0,16,0,17
19,15,19,16
0,15,0,16
19,14,19,15
0,14,0,15
19,13,19,14
0,13,0,14
19,12,19,13
0,12,0,13
19,11,19,12
0,11,0,12
19,10,19,11
0,10,0,11
19,9,19,10
0,9,0,10
19,8,19,9
0,8,0,9
19,7,19,8
0,7,0,8
19,6,19,7
0,6,0,7
19,5,19,6
0,5,0,6
19,4,19,5
0,4,0,5
19,3,19,4
0,3,0,4
19,2,19,3
0,2,0,3
19,1,19,2
0,1,0,2
19,0,19,1
0,0,0,1
3,12,3,13
8,8,8,9
17,3,18,3
6,2,7,2
2,5,2,6
11,16,12,16
8,16,8,17
7,1,7,2
12,5,13,5
7,18,7,19
2,15,2,16
14,5,15,5
5,7,5,8
11,17,11,18
13,14,13,15
13,9,14,9
4,16,5,16
6,17,6,18
15,10,16,10
13,17,14,17
6,6,7,6
7,6,8,6
2,4,2,5
3,4,3,5
2,17,3,17
11,6,11,7
17,10,17,11
7,16,8,16
17,12,17,13
5,18,5,19
18,12,18,13
12,9,13,9
14,3,15,3
13,13,14,13
2,8,2,9
7,2,8,2
6,9,7,9
7,1,8,1
4,8,5,8
5,6,6,6
4,15,4,16
14,15,14,16
16,4,17,4
16,13,16,14
4,14,4,15
11,8,11,9
10,12,11,12
12,16,12,17
16,6,16,7
11,17,12,17
15,5,15,6
8,9,9,9
0,11,1,11
7,5,8,5
10,12,10,13
5,3,6,3
17,6,17,7
17,8,18,8
17,8,17,9
5,4,6,4
14,12,15,12
5,10,6,10
11,10,11,11
3,9,4,9
2,6,2,7
18,14,19,14
13,9,13,10
14,17,14,18
12,12,13,12
17,6,18,6
6,1,7,1
1,17,1,18
11,3,11,4
2,15,3,15
8,10,8,11
5,12,5,13
8,17,8,18
6,16,6,17
17,2,18,2
12,16,13,16
17,11,17,12
9,16,9,17
2,12,2,13
12,6,13,6
8,11,9,11
10,13,11,13
16,14,16,15
0,6,1,6
13,1,14,1
12,17,13,17
16,13,17,13
0,9,1,9
2,11,2,12
7,2,7,3
9,3,10,3
3,1,3,2
18,11,19,11
16,2,17,2
18,1,19,1
18,12,19,12
5,7,6,7
15,18,15,19
4,3,4,4
12,13,12,14
14,6,14,7
14,18,14,19
4,18,5,18
17,15,17,16
16,10,17,10
11,14,11,15
3,9,3,10
12,6,12,7
16,17,17,17
13,2,13,3
11,11,12,11
18,6,18,7
4,1,5,1
3,10,4,10
6,15,6,16
18,18,18,19
10,1,10,2
9,12,9,13
9,12,10,12
3,18,4,18
7,11,8,11
10,11,11,11
10,18,10,19
7,9,8,9
9,14,9,15
3,15,4,15
15,11,15,12
4,15,5,15
5,17,6,17
6,12,7,12
13,1,13,2
13,14,14,14
15,3,16,3
4,10,5,10
16,17,16,18
13,18,14,18
11,3,12,3
6,8,7,8
16,8,16,9
7,5,7,6
17,4,18,4
18,15,18,16
11,9,11,10
9,18,9,19
14,8,15,8
4,4,4,5
12,12,12,13
11,4,11,5
14,3,14,4
4,6,4,7
4,11,5,11
5,5,5,6
14,9,15,9
3,16,4,16
18,15,19,15
14,13,14,14
4,14,5,14
5,13,5,14
5,16,6,16
14,11,15,11
11,7,11,8
7,4,7,5
14,1,14,2
9,8,9,9
17,18,17,19
3,7,3,8
9,4,9,5
16,18,17,18
4,17,5,17
3,3,4,3
4,10,4,11
12,8,13,8
1,9,1,10
4,12,4,13
